
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_dscConCacheNM_13s_2s, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscConCacheNM, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_roundRobinArbiter_4s, 4, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_DMAStartCtrl_4s_2s, 13, 31, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_roundRobinArbiterWAck_4s_1_2, 9, 21, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_DMATranCtrl_Z8, 742, 714, 125, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_intErrorCtrl_Z5, 102, 363, 24, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_rdTranCtrl_Z6, 102, 87, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_rdTranQueue_4s_2s_1s_24s, 201, 55, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_transAck_2s_24s_11s_0s_1_2_4_1, 95, 44, 101, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_wrTranCtrl_Z7, 53, 61, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_wrTranQueue_4s_2s_1s_24s, 138, 41, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_dscrptrSrcMux_Z2, 48, 115, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_roundRobinArbiterWAck_3s_1_2, 7, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_extDscrptrFetchFSM_Z3, 178, 236, 33, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_intStatusMux_2s_1_2, 1, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_AXI4INITIATORDMACtrl_Z11, 518, 745, 333, 0, 0, 0, 0, 0, 0
.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_AXI4LiteTARGETCtrl, 92, 107, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_Cache_4s_256s_27s_0s_1024s_3s_11s_8s, 23, 51, 46, 0, 0, 2, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_cache_32s_8s, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_cache, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_cache_32s_8s_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_cache_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_bufferDescriptors_Z1, 287, 391, 14, 0, 0, 5, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_RAM_1K20_wrapper_27s_2s_1_0s, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_bd_32s_9s, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_bd, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_RAM_1K20_wrapper_27s_2s_1_0s_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_bd_32s_9s_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_bd_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_RAM_1K20_wrapper_27s_2s_1_0s_1, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_bd_32s_9s_1, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_bd_1, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_RAM_1K20_wrapper_27s_2s_1_0s_2, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_bd_32s_9s_2, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_bd_2, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_RAM_1K20_wrapper_27s_2s_1_0s_3, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_bd_32s_9s_3, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_bd_3, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_controlRegisters_2s_0s_100s_4s_0_4, 4, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_ctrlIFMuxCDC, 0, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_intController_Z10, 62, 56, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_int_0_ControllerFIFO_50s_1s_0s_27s_4s_2s, 7, 13, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_fifo_0_50s_2s, 0, 1, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_fifo_0, 0, 1, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_interrupt_x_ctrl_1s_0s_27s_0s_0_1, 55, 26, 0, 0, 0, 0, 0, 0, 0
.	.	. DMA_INITIATOR, 1424, 1186, 77, 0, 0, 0, 16, 1, 0
.	.	.	. COREAXI4INTERCONNECT_Z14, 1424, 1186, 77, 0, 0, 0, 16, 1, 0
.	.	.	.	. caxi4interconnect_MasterConvertor_Z19, 898, 776, 45, 0, 0, 0, 16, 0, 0
.	.	.	.	.	. caxi4interconnect_MstrDataWidthConv_Z15, 436, 532, 45, 0, 0, 0, 16, 0, 0
.	.	.	.	.	.	. caxi4interconnect_UpConverter_Z17, 436, 532, 45, 0, 0, 0, 16, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_AChannel_32s_8s_1s_32s_64s_30s_1s_0_0_1_0, 60, 33, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_AChannel_32s_8s_1s_32s_64s_30s_1s_0_0_1_1, 52, 33, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_BChannel_8s_1s_4s_0_1s, 14, 32, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DWC_brespCtrl_1s_8s, 4, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_4s_9s_9s_3s_0s_4s_2s_0s_3s, 10, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_4s_3s_0s_2s_4s_0s_1, 10, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_RChannel_8s_1s_16s_4s_64s_32s_0_1s, 99, 142, 15, 0, 0, 0, 8, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_RChan_Ctrl_64s_32s_8s, 24, 39, 15, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_preCalcRChan_Ctrl_64s_32s_1s_8s, 16, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_Hold_Reg_Ctrl_2, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_4s_33s_33s_3s_1s_4s_2s_1s_3s, 10, 21, 0, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_4s_3s_1s_2s_4s_0s_1, 10, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_4s_2s_33s_0s, 0, 1, 0, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_downsizing_16s_64s_32s_3s_15s_1s_16s_4s_1s_15s, 49, 73, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_16s_15s_1s_4s_16s_0s, 16, 41, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_16s_4s_67s_0s, 0, 0, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_WChannel_Z16, 113, 277, 14, 0, 0, 0, 8, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_WChan_Hold_Reg_32s_1s_64s_8s, 8, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_Hold_Reg_Ctrl_caxi4interconnect_MasterConvertor_Z19_0, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_WChan_ReadDataFifoCtrl_3s_2s_0_1, 22, 50, 11, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_Wchan_WriteDataFifoCtrl_32s_1s_64s_8s_4s_2s_8s_3s, 46, 58, 3, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_4s_25s_25s_3s_0s_4s_2s_0s_3s, 10, 21, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_4s_3s_0s_2s_4s_0s_0, 10, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_4s_2s_25s_0s, 0, 1, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_4s_8s_8s_3s_1s_4s_2s_1s_3s, 10, 20, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_4s_3s_1s_2s_4s_0s_0, 10, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_4s_2s_8s_0s, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_upsizing_16s_36s_72s_9s_15s_11s_16s_4s_11s_15s, 17, 121, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_16s_15s_11s_4s_16s_0s, 17, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_16s_4s_36s_0s, 0, 0, 0, 0, 0, 0, 3, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_16s_4s_36s_0s_0, 0, 0, 0, 0, 0, 0, 3, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_preCalcAChannel_64s_32s_1s_8s_0, 49, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_Hold_Reg_Ctrl_caxi4interconnect_MasterConvertor_Z19_1, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_preCalcAChannel_64s_32s_1s_8s_1, 49, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_Hold_Reg_Ctrl_caxi4interconnect_MasterConvertor_Z19, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_1_8s_32s_64s_0s_1s, 462, 244, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_11s_0_1_3_0, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_71s_0_1_3_0, 88, 46, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_71s_0_1_3_2, 88, 46, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_76s_0_1_3_0, 132, 69, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_82s_0_1_3_2_caxi4interconnect_MasterConvertor_Z19, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_ResetSycnc_3, 2, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	. caxi4interconnect_SlaveConvertor_Z23, 524, 410, 32, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_1_9s_32s_64s_0s_1s, 468, 249, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_12s_0_1_3_0, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_72s_0_1_3_0, 90, 48, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_72s_0_1_3_2, 90, 48, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_77s_0_1_3_0, 134, 70, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_83s_0_1_3_0, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_SlvProtocolConverter_Z21, 56, 161, 32, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_SlvAxi4ProtConvAXI4ID_1_9s_8s_0_0, 28, 79, 16, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_256s_9s_9s_255s_0s_256s_8s_0s_255s_3_0, 28, 74, 16, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_256s_255s_0s_8s_256s_0s_MPFS_ICICLE_KIT_BASE_DESIGN_0, 28, 74, 16, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_SlvAxi4ProtConvAXI4ID_1_9s_8s_0_1, 28, 82, 16, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_256s_9s_9s_255s_0s_256s_8s_0s_255s_3, 28, 77, 16, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_256s_255s_0s_8s_256s_0s_MPFS_ICICLE_KIT_BASE_DESIGN, 28, 77, 16, 0, 0, 0, 0, 0, 0
.	.	. FIC0_INITIATOR, 3060, 3713, 691, 0, 0, 4, 16, 1, 0
.	.	.	. COREAXI4INTERCONNECT_Z40, 3060, 3713, 691, 0, 0, 4, 16, 1, 0
.	.	.	.	. caxi4interconnect_Axi4CrossBar_Z24, 439, 761, 71, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. caxi4interconnect_AddressController_Z26, 133, 189, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_MasterControl_Z30, 68, 172, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DependenceChecker_Z27, 0, 40, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_2s_2s_1s_38s_38s_0s_0_3_Z29, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_TransactionController_2s_9s_4s_2s_8s_4s_0_15s_1s, 68, 132, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_BitScan0_4s, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TargetMuxController_Z25_0, 65, 17, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_AddressController_Z33, 133, 189, 6, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_MasterControl_Z34, 68, 182, 6, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DependenceChecker_Z27_0, 0, 48, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_2s_2s_0s_38s_38s_0s_0_3_Z28_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_2s_2s_1s_38s_38s_0s_0_3_Z29_0, 0, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_TransactionController_2s_9s_4s_2s_8s_4s_1_15s_1s, 68, 134, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_BitScan0_4s_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TargetMuxController_Z25_1, 65, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_DERR_Slave_Z39, 44, 30, 9, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RDataController_Z31, 93, 183, 50, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_ReadDataController_Z32, 93, 183, 50, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_RdFifoDualPort_1s_2_5s_2s_3s_2, 85, 63, 50, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_5s_2s_32s, 66, 38, 44, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_ReadDataMux_1s_3s_2s_8s_64s_0s_1s_7_9s_11s, 8, 120, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RespController_Z38, 17, 59, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RoundRobinArb_3s_2s_0s_0, 8, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_SlaveDataMuxController_Z37, 9, 45, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WDataController_Z35, 19, 111, 6, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. caxi4interconnect_FifoDualPort_0_2s_5s_3s_1, 19, 30, 6, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DualPort_RAM_SyncWr_SyncRd_5s_3s_0s_32s, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z36, 0, 75, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_MasterConvertor_Z43_0, 564, 290, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_8s_38s_64s_0s_1s_0, 564, 290, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_11s_0_1_3_2, 22, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_76s_0_1_3_2, 152, 79, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_77s_0_1_3_1, 120, 66, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_77s_0_1_3_3, 122, 68, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_82s_0_1_3_2_COREAXI4INTERCONNECT_Z40, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_ResetSycnc_3_COREAXI4INTERCONNECT_Z40, 2, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	. caxi4interconnect_SlaveConvertor_Z50, 1561, 2252, 586, 0, 0, 4, 7, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_9s_38s_64s_0s_1s_0, 448, 255, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_12s_0_1_3_2, 20, 8, 0, 0, 0, 0, 0, 0, 0
